date,AAPL,MSFT,SPY,USDCAD,JPM,QQQ,SHOP
2025-01-02,185.0,390.0,500.0,1.35,172.0,420.0,82.0
2025-01-03,186.0795,381.5572,504.6641,1.3522,174.4348,424.7633,79.2081
2025-01-06,182.6612,380.2367,513.0614,1.3525,173.1337,416.2116,77.9915
2025-01-07,185.1926,378.7491,508.2635,1.3455,175.1472,412.7785,76.5982
2025-01-08,188.3927,380.2886,503.9295,1.3453,176.8695,406.7118,78.1024
2025-01-09,181.8426,377.0428,510.8373,1.3449,174.5672,401.7501,79.7096
2025-01-10,177.644,380.0194,510.0387,1.3545,177.0084,402.1701,79.4469
2025-01-13,178.1149,386.31,517.3772,1.3594,178.8015,391.4131,78.6961
2025-01-14,177.1634,387.4059,515.2687,1.3595,179.1193,394.6758,78.9989
2025-01-15,177.1718,389.7219,522.9464,1.3609,177.2703,398.6818,77.4139
2025-01-16,174.5134,390.1897,523.8171,1.3612,175.2,397.5199,75.2214
2025-01-17,177.3369,390.3268,525.3531,1.3601,173.9425,384.8393,73.4796
2025-01-20,179.8817,385.9571,533.7572,1.3542,175.3247,379.989,72.3392
2025-01-21,180.1584,388.0467,532.0131,1.3534,173.0405,386.2124,70.2604
2025-01-22,183.877,387.5785,527.1924,1.3494,174.1609,372.3999,70.5697
2025-01-23,185.4887,400.6944,525.0121,1.3427,171.1942,370.8478,71.8818
2025-01-24,182.6846,410.9216,527.5707,1.3455,170.765,365.2888,69.0548
2025-01-27,183.9611,413.6022,519.4948,1.3476,171.0869,369.2374,69.1224
2025-01-28,180.8504,408.6974,522.9883,1.338,177.0034,366.126,68.7665
2025-01-29,183.7733,401.5662,520.3536,1.3374,173.6523,368.1768,69.3777
2025-01-30,183.6724,409.3599,526.5084,1.3427,177.2917,371.0121,69.3795
2025-01-31,183.1256,411.2241,514.0867,1.3484,177.7257,379.9984,66.8826
2025-02-03,180.9451,414.5272,510.223,1.354,178.811,379.1289,64.7952
2025-02-04,184.9903,403.1014,501.7968,1.3542,179.1698,381.1149,64.8655
2025-02-05,184.5405,409.2241,497.8265,1.3497,180.3481,373.8906,66.5565
2025-02-06,183.1823,412.3427,499.2337,1.3439,180.0231,379.8076,62.8956
2025-02-07,182.0853,405.161,498.5136,1.3457,183.7508,376.1855,63.4612
2025-02-10,183.8937,402.2461,497.425,1.3478,182.6409,373.5749,65.3708
2025-02-11,185.1677,404.0841,496.8073,1.3548,185.5999,373.5976,65.1436
2025-02-12,186.6082,404.5648,497.9916,1.3608,183.9905,366.1378,66.0625
2025-02-13,188.1206,402.8152,493.1435,1.3601,183.8997,367.3548,64.9244
2025-02-14,195.4384,402.2892,496.8019,1.3533,181.2042,372.1036,64.7534
